Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,3.693287,3.693287,3.693287,3.693287,1.255023,0
1972-06-02,3.677195,3.677195,3.677195,3.677195,1.249556,0
1972-06-05,3.604777,3.604777,3.604777,3.604777,1.224948,0
1972-06-06,3.411664,3.411664,3.411664,3.411664,1.159325,0
1972-06-07,3.371432,3.371432,3.371432,3.371432,1.145654,0
1972-06-08,3.451896,3.451896,3.451896,3.451896,1.172996,0
1972-06-09,3.427757,3.427757,3.427757,3.427757,1.164793,0
1972-06-12,3.484082,3.484082,3.484082,3.484082,1.183934,0
1972-06-13,3.484082,3.484082,3.484082,3.484082,1.183934,0
1972-06-14,3.443850,3.443850,3.443850,3.443850,1.170261,0
1972-06-15,3.403618,3.403618,3.403618,3.403618,1.156591,0
1972-06-16,3.395571,3.395571,3.395571,3.395571,1.153856,0
1972-06-19,3.363386,3.363386,3.363386,3.363386,1.142920,0
1972-06-20,3.371432,3.371432,3.371432,3.371432,1.145654,0
1972-06-21,3.443850,3.443850,3.443850,3.443850,1.170261,0
1972-06-22,3.508221,3.508221,3.508221,3.508221,1.192136,0
1972-06-23,3.331200,3.331200,3.331200,3.331200,1.131983,0
1972-06-26,3.234644,3.234644,3.234644,3.234644,1.099171,0
1972-06-27,3.371432,3.371432,3.371432,3.371432,1.145654,0
1972-06-28,3.403618,3.403618,3.403618,3.403618,1.156591,0
1972-06-29,3.484082,3.484082,3.484082,3.484082,1.183934,0
1972-06-30,3.588684,3.588684,3.588684,3.588684,1.219479,0
1972-07-03,3.725473,3.725473,3.725473,3.725473,1.265962,0
1972-07-05,3.862261,3.862261,3.862261,3.862261,1.312443,0
1972-07-06,3.862261,3.862261,3.862261,3.862261,1.312443,0
1972-07-07,3.797890,3.797890,3.797890,3.797890,1.290569,0
1972-07-10,3.765705,3.765705,3.765705,3.765705,1.279632,0
1972-07-11,3.773751,3.773751,3.773751,3.773751,1.282367,0
1972-07-12,3.765705,3.765705,3.765705,3.765705,1.279632,0
1972-07-13,3.612823,3.612823,3.612823,3.612823,1.227682,0
1972-07-14,3.636963,3.636963,3.636963,3.636963,1.235884,0
1972-07-17,3.604777,3.604777,3.604777,3.604777,1.224948,0
1972-07-18,3.636963,3.636963,3.636963,3.636963,1.235884,0
1972-07-19,3.636963,3.636963,3.636963,3.636963,1.235884,0
1972-07-20,3.451896,3.451896,3.451896,3.451896,1.172996,0
1972-07-21,3.524313,3.524313,3.524313,3.524313,1.197605,0
1972-07-24,3.588684,3.588684,3.588684,3.588684,1.219479,0
1972-07-25,3.556499,3.556499,3.556499,3.556499,1.208541,0
1972-07-26,3.556499,3.556499,3.556499,3.556499,1.208541,0
1972-07-27,3.548453,3.548453,3.548453,3.548453,1.205808,0
1972-07-28,3.564545,3.564545,3.564545,3.564545,1.211276,0
1972-07-31,3.556499,3.556499,3.556499,3.556499,1.208541,0
1972-08-01,3.645009,3.645009,3.645009,3.645009,1.238619,0
1972-08-02,3.878354,3.878354,3.878354,3.878354,1.317912,0
1972-08-03,3.942725,3.942725,3.942725,3.942725,1.339786,0
1972-08-04,3.950771,3.950771,3.950771,3.950771,1.342521,0
1972-08-07,3.942725,3.942725,3.942725,3.942725,1.339786,0
1972-08-08,3.886400,3.886400,3.886400,3.886400,1.320646,0
1972-08-09,3.886400,3.886400,3.886400,3.886400,1.320646,0
1972-08-10,3.999050,3.999050,3.999050,3.999050,1.358926,0
1972-08-11,4.039281,4.039281,4.039281,4.039281,1.372597,0
1972-08-14,4.007096,4.007096,4.007096,4.007096,1.361660,0
1972-08-15,3.966864,3.966864,3.966864,3.966864,1.347989,0
1972-08-16,3.942725,3.942725,3.942725,3.942725,1.339786,0
1972-08-17,3.862261,3.862261,3.862261,3.862261,1.312443,0
1972-08-18,3.878354,3.878354,3.878354,3.878354,1.317912,0
1972-08-21,3.862261,3.862261,3.862261,3.862261,1.312443,0
1972-08-22,3.805937,3.805937,3.805937,3.805937,1.293304,0
1972-08-23,3.725473,3.725473,3.725473,3.725473,1.265962,0
1972-08-24,3.709380,3.709380,3.709380,3.709380,1.260493,0
1972-08-25,3.709380,3.709380,3.709380,3.709380,1.260493,0
1972-08-28,3.709380,3.709380,3.709380,3.709380,1.260493,0
1972-08-29,3.765705,3.765705,3.765705,3.765705,1.279632,0
1972-08-30,3.862261,3.862261,3.862261,3.862261,1.312443,0
1972-08-31,3.846169,3.846169,3.846169,3.846169,1.306975,0
1972-09-01,3.991003,3.991003,3.991003,3.991003,1.356192,0
1972-09-05,3.918586,3.918586,3.918586,3.918586,1.331583,0
1972-09-06,3.789844,3.789844,3.789844,3.789844,1.287836,0
1972-09-07,3.797890,3.797890,3.797890,3.797890,1.290569,0
1972-09-08,3.717427,3.717427,3.717427,3.717427,1.263227,0
1972-09-11,3.612823,3.612823,3.612823,3.612823,1.227682,0
1972-09-12,3.524313,3.524313,3.524313,3.524313,1.197605,0
1972-09-13,3.604777,3.604777,3.604777,3.604777,1.224948,0
1972-09-14,3.636963,3.636963,3.636963,3.636963,1.235884,0
1972-09-15,3.645009,3.645009,3.645009,3.645009,1.238619,0
1972-09-18,3.693287,3.693287,3.693287,3.693287,1.255023,0
1972-09-19,3.725473,3.725473,3.725473,3.725473,1.265962,0
1972-09-20,3.846169,3.846169,3.846169,3.846169,1.306975,0
1972-09-21,3.765705,3.765705,3.765705,3.765705,1.279632,0
1972-09-22,3.765705,3.765705,3.765705,3.765705,1.279632,0
1972-09-25,3.725473,3.725473,3.725473,3.725473,1.265962,0
1972-09-26,3.765705,3.765705,3.765705,3.765705,1.279632,0
1972-09-27,3.999050,3.999050,3.999050,3.999050,1.358926,0
1972-09-28,4.007096,4.007096,4.007096,4.007096,1.361660,0
1972-09-29,3.966864,3.966864,3.966864,3.966864,1.347989,0
1972-10-02,3.991003,3.991003,3.991003,3.991003,1.356192,0
1972-10-03,4.007096,4.007096,4.007096,4.007096,1.361660,0
1972-10-04,3.966864,3.966864,3.966864,3.966864,1.347989,0
1972-10-05,3.765705,3.765705,3.765705,3.765705,1.279632,0
1972-10-06,3.830076,3.830076,3.830076,3.830076,1.301506,0
1972-10-09,3.902493,3.902493,3.902493,3.902493,1.326115,0
1972-10-10,3.846169,3.846169,3.846169,3.846169,1.306975,0
1972-10-11,3.717427,3.717427,3.717427,3.717427,1.263227,0
1972-10-12,3.709380,3.709380,3.709380,3.709380,1.260493,0
