Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,3.912787,4.051820,3.912787,3.992235,0.764547,56400
1970-01-05,4.031959,4.131268,4.031959,4.131268,0.791174,116100
1970-01-06,4.131268,4.210715,4.091544,4.131268,0.791174,92900
1970-01-07,4.131268,4.190854,4.111406,4.111406,0.787370,67900
1970-01-08,4.131268,4.210715,4.131268,4.210715,0.806389,59100
1970-01-09,4.210715,4.230577,4.131268,4.170992,0.798781,79200
1970-01-12,4.170992,4.170992,4.111406,4.151130,0.794977,59500
1970-01-13,4.151130,4.151130,4.012097,4.012097,0.768351,109800
1970-01-14,4.012097,4.111406,4.012097,4.111406,0.787370,46800
1970-01-15,4.071682,4.071682,3.992235,4.012097,0.768351,69100
1970-01-16,4.012097,4.071682,3.972373,4.012097,0.768351,46400
1970-01-19,4.012097,4.071682,3.972373,4.031959,0.772155,45200
1970-01-20,4.031959,4.051820,3.932649,4.012097,0.768351,51400
1970-01-21,4.051820,4.449058,4.051820,4.329886,0.829211,147100
1970-01-22,4.329886,4.369610,4.170992,4.190854,0.802585,161500
1970-01-23,4.190854,4.210715,4.091544,4.111406,0.787370,64000
1970-01-26,4.091544,4.091544,3.892926,3.972373,0.760744,98000
1970-01-27,3.972373,3.972373,3.873064,3.972373,0.760744,56400
1970-01-28,3.932649,3.932649,3.773754,3.773754,0.722707,111000
1970-01-29,3.753892,3.753892,3.634721,3.714169,0.711296,230600
1970-01-30,3.714169,3.734031,3.654583,3.734031,0.715100,170100
1970-02-02,3.734031,3.773754,3.694307,3.773754,0.722707,138300
1970-02-03,3.773754,3.813478,3.674445,3.813478,0.730314,145900
1970-02-04,3.813478,3.813478,3.654583,3.714169,0.720300,154600
1970-02-05,3.714169,3.714169,3.634721,3.654583,0.708744,79600
1970-02-06,3.654583,3.674445,3.614859,3.654583,0.708744,114800
1970-02-09,3.654583,3.654583,3.614859,3.654583,0.708744,124900
1970-02-10,3.654583,3.654583,3.614859,3.654583,0.708744,65300
1970-02-11,3.654583,3.694307,3.634721,3.694307,0.716448,78300
1970-02-12,3.694307,3.694307,3.634721,3.654583,0.708744,70300
1970-02-13,3.654583,3.694307,3.634721,3.654583,0.708744,50200
1970-02-16,3.654583,3.674445,3.614859,3.674445,0.712596,71600
1970-02-17,3.654583,3.654583,3.575136,3.575136,0.693336,86700
1970-02-18,3.594998,3.674445,3.594998,3.614859,0.701041,84200
1970-02-19,3.614859,3.694307,3.594998,3.594998,0.697189,107300
1970-02-20,3.614859,3.734031,3.614859,3.634721,0.704892,188600
1970-02-24,3.634721,3.674445,3.634721,3.654583,0.708744,167200
1970-02-25,3.654583,3.694307,3.614859,3.654583,0.708744,201700
1970-02-26,3.654583,3.674445,3.614859,3.634721,0.704892,192400
1970-02-27,3.634721,3.813478,3.594998,3.734031,0.724151,222700
1970-03-02,3.773754,3.912787,3.773754,3.813478,0.739559,211300
1970-03-03,3.813478,3.912787,3.773754,3.912787,0.758818,124500
1970-03-04,3.912787,3.992235,3.892926,3.932649,0.762671,164800
1970-03-05,3.932649,3.972373,3.873064,3.912787,0.758818,108100
1970-03-06,3.912787,3.932649,3.813478,3.833340,0.743411,80900
1970-03-09,3.833340,3.853202,3.793616,3.813478,0.739559,67000
1970-03-10,3.813478,3.873064,3.793616,3.853202,0.747263,39400
1970-03-11,3.853202,3.873064,3.833340,3.833340,0.743411,58200
1970-03-12,3.833340,3.833340,3.773754,3.793616,0.735707,55200
1970-03-13,3.793616,3.833340,3.753892,3.833340,0.743411,59100
1970-03-16,3.833340,3.853202,3.734031,3.793616,0.735707,51400
1970-03-17,3.793616,3.813478,3.734031,3.793616,0.735707,58200
1970-03-18,3.793616,3.873064,3.734031,3.773754,0.731855,201300
1970-03-19,3.773754,3.773754,3.694307,3.734031,0.724151,58200
1970-03-20,3.734031,3.753892,3.654583,3.734031,0.724151,183600
1970-03-23,3.734031,3.773754,3.694307,3.714169,0.720300,50200
1970-03-24,3.734031,3.793616,3.734031,3.793616,0.735707,49400
1970-03-25,3.793616,3.873064,3.753892,3.853202,0.747263,173900
1970-03-26,3.853202,3.873064,3.813478,3.853202,0.747263,90900
1970-03-30,3.853202,3.892926,3.793616,3.813478,0.739559,85900
1970-03-31,3.813478,3.833340,3.773754,3.773754,0.731855,69100
1970-04-01,3.793616,3.853202,3.793616,3.813478,0.739559,75300
1970-04-02,3.813478,3.853202,3.793616,3.793616,0.735707,112200
1970-04-03,3.793616,3.833340,3.753892,3.833340,0.743411,192400
1970-04-06,3.833340,3.853202,3.773754,3.773754,0.731855,123700
1970-04-07,3.773754,3.833340,3.753892,3.833340,0.743411,77900
1970-04-08,3.833340,3.833340,3.793616,3.793616,0.735707,41800
1970-04-09,3.793616,3.813478,3.753892,3.773754,0.731855,42700
1970-04-10,3.753892,3.753892,3.694307,3.694307,0.716448,124500
1970-04-13,3.694307,3.734031,3.654583,3.714169,0.720300,148400
1970-04-14,3.714169,3.734031,3.614859,3.694307,0.716448,133700
1970-04-15,3.694307,3.753892,3.654583,3.674445,0.712596,40200
1970-04-16,3.674445,3.714169,3.436103,3.436103,0.666373,160100
1970-04-17,3.356655,3.356655,3.217622,3.336793,0.647114,260400
1970-04-20,3.336793,3.416241,3.277208,3.297070,0.639410,114800
